subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D13,devprop,F02,famous,B,5,1363,TRUE,s003,<undefined>,-0.21642,<undefined>,<undefined>,0.10714,0.038462,-0.18421,-0.06476,-0.60714,<undefined>,0.17857,0.020921,0.053571,-0.12447,-0.29054
D14,devprop,F02,famous,B,54,2041,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F02,famous,B,61,1467,TRUE,s005,<undefined>,-0.11812,0.10714,<undefined>,<undefined>,0.38682,-0.21579,-0.37364,-0.076923,<undefined>,0.15385,0.006599,0.19561,0,-0.10373
D16,devprop,F02,famous,B,149,2119,TRUE,s006,<undefined>,-0.079309,0.038462,<undefined>,0.38682,<undefined>,-0.063158,-0.30664,0.053482,<undefined>,0.012821,-0.24541,0.03004,-0.14103,-0.062632
D17,devprop,F02,famous,B,75,4797,TRUE,s007,<undefined>,0.14151,-0.18421,<undefined>,-0.21579,-0.063158,<undefined>,-0.11729,-0.33158,<undefined>,-0.14211,-0.27895,-0.24285,-0.24737,0.0758
D18,devprop,F02,famous,B,127,2205,TRUE,s008,<undefined>,-0.17504,-0.06476,<undefined>,-0.37364,-0.30664,-0.11729,<undefined>,-0.49014,<undefined>,-0.48698,-0.56285,-0.10888,-0.27778,-0.32372
D90,devprop,F02,famous,B,70,1143,TRUE,s009,<undefined>,-0.18657,-0.60714,<undefined>,-0.076923,0.053482,-0.33158,-0.49014,<undefined>,<undefined>,-0.41667,-0.75,-0.02381,-0.15,-0.20769
D91,devprop,F02,famous,B,117,2818,FALSE,s010,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D92,devprop,F02,famous,B,41,1433,TRUE,s011,<undefined>,-0.2211,0.17857,<undefined>,0.15385,0.012821,-0.14211,-0.48698,-0.41667,<undefined>,<undefined>,0.375,-0.45476,-0.037479,-0.21516
D93,devprop,F02,famous,B,93,884,TRUE,s012,<undefined>,-0.26119,0.020921,<undefined>,0.006599,-0.24541,-0.27895,-0.56285,-0.75,<undefined>,0.375,<undefined>,-0.72175,-0.42494,-0.31538
D94,devprop,F02,famous,B,45,1007,TRUE,s013,<undefined>,-0.22388,0.053571,<undefined>,0.19561,0.03004,-0.24285,-0.10888,-0.02381,<undefined>,-0.45476,-0.72175,<undefined>,-0.0074692,-0.22021
D95,devprop,F02,famous,B,108,778,TRUE,s014,<undefined>,-0.14179,-0.12447,<undefined>,0,-0.14103,-0.24737,-0.27778,-0.15,<undefined>,-0.037479,-0.42494,-0.0074692,<undefined>,-0.13077
D96,devprop,F02,famous,B,96,3371,TRUE,s015,<undefined>,0.25373,-0.29054,<undefined>,-0.10373,-0.062632,0.0758,-0.32372,-0.20769,<undefined>,-0.21516,-0.31538,-0.22021,-0.13077,<undefined>
D06,devprop,F02,famous,C,153,2272,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F02,famous,C,46,3839,TRUE,s002,<undefined>,<undefined>,0.3866,<undefined>,-0.31944,0.11384,-0.14345,<undefined>,-0.20833,<undefined>,0.034722,-0.2002,-0.18056,-0.24166,0.34722
D13,devprop,F02,famous,C,72,5542,TRUE,s003,<undefined>,0.3866,<undefined>,<undefined>,-0.26289,0.030347,-0.036663,<undefined>,-0.28351,<undefined>,-0.10309,-0.1701,-0.2757,-0.25493,0.22769
D14,devprop,F02,famous,C,126,1504,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
