subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S02,super,N11,novel,B,141,569,TRUE,s002,0.28261,<undefined>,0.14286,0.625,0.35714,0.44737,0.7,0.14,0.015139,-0.30474,0.53661,0.875,0.7,0.57143,0.44737
S03,super,N11,novel,B,8,1581,TRUE,s003,0.32195,0.14286,<undefined>,0.15511,-0.035714,0.29491,0.26786,0.051033,0.13113,-0.2163,0.35714,0.089286,0.19643,0.071429,0.32449
S04,super,N11,novel,B,55,1062,TRUE,s004,0.31554,0.625,0.15511,<undefined>,0.3125,0.46543,0.64108,0.18,0.30926,-0.2884,0.53661,0.53125,0.56786,0.375,0.46543
S07,super,N11,novel,B,42,882,TRUE,s005,0.1087,0.35714,-0.035714,0.3125,<undefined>,0.18421,0.36667,-0.069706,0.12269,-0.46394,0.3125,0.32143,0.3,0.15511,0.23684
S09,super,N11,novel,B,48,1057,TRUE,s006,0.69565,0.44737,0.29491,0.46543,0.18421,<undefined>,0.68421,0.24,-0.016511,-0.4714,0.391,0.36842,0.57895,0.39474,0.89474
S10,super,N11,novel,B,52,717,TRUE,s007,0.47826,0.7,0.26786,0.64108,0.36667,0.68421,<undefined>,0.2,0.030278,-0.37617,0.5527,0.6,0.86667,0.56667,0.68421
S11,super,N11,novel,B,72,1234,TRUE,s008,0.34343,0.14,0.051033,0.18,-0.069706,0.24,0.2,<undefined>,0.2,-0.033137,0.02,0.12,0.14343,-0.02,0.24
S12,super,N11,novel,B,143,813,TRUE,s009,-0.082587,0.015139,0.13113,0.30926,0.12269,-0.016511,0.030278,0.2,<undefined>,-0.1578,0.45127,0.010093,-0.028546,-0.14706,0.0052897
S13,super,N11,novel,B,131,1197,TRUE,s010,-0.51737,-0.30474,-0.2163,-0.2884,-0.46394,-0.4714,-0.37617,-0.033137,-0.1578,<undefined>,-0.2884,-0.28093,-0.33672,-0.38025,-0.4714
S14,super,N11,novel,B,6,976,TRUE,s011,0.25405,0.53661,0.35714,0.53661,0.3125,0.391,0.5527,0.02,0.45127,-0.2884,<undefined>,0.53125,0.47947,0.3125,0.4128
S15,super,N11,novel,B,141,731,TRUE,s012,0.21739,0.875,0.089286,0.53125,0.32143,0.36842,0.6,0.12,0.010093,-0.28093,0.53125,<undefined>,0.6,0.53571,0.36842
S17,super,N11,novel,B,103,1190,TRUE,s013,0.3913,0.7,0.19643,0.56786,0.3,0.57895,0.86667,0.14343,-0.028546,-0.33672,0.47947,0.6,<undefined>,0.5,0.57895
S90,super,N11,novel,B,69,829,TRUE,s014,0.19565,0.57143,0.071429,0.375,0.15511,0.39474,0.56667,-0.02,-0.14706,-0.38025,0.3125,0.53571,0.5,<undefined>,0.34211
S91,super,N11,novel,B,55,1120,TRUE,s015,0.69565,0.44737,0.32449,0.46543,0.23684,0.89474,0.68421,0.24,0.0052897,-0.4714,0.4128,0.36842,0.57895,0.34211,<undefined>
S01,super,N11,novel,C,149,1092,TRUE,s001,<undefined>,0.11364,0.39806,0.29545,-0.28699,0.2617,0.38636,0.34158,-0.16165,-0.19701,0.11364,-0.068182,-0.33957,0.29935,-0.25646
S02,super,N11,novel,C,109,683,TRUE,s002,0.11364,<undefined>,0.19352,0.2,-0.1973,0.53125,0.44287,0.057153,-0.075,-0.077332,0.69231,0.32089,-0.24041,0.19286,-0.14886
S03,super,N11,novel,C,10,1288,TRUE,s003,0.39806,0.19352,<undefined>,0.20455,0.045455,0.12533,0.38636,0.68182,0.31495,-0.28127,0.057153,-0.068182,-0.14447,0.27273,0.19352
S04,super,N11,novel,C,121,1086,TRUE,s004,0.29545,0.2,0.20455,<undefined>,-0.35892,0.28125,0.6,0.20455,-0.066421,-0.36156,0.2781,0.13333,-0.46814,0.28125,-0.39022
S07,super,N11,novel,C,10,1000,TRUE,s005,-0.28699,-0.1973,0.045455,-0.35892,<undefined>,-0.025888,-0.18658,0.16299,0.17929,0.023158,-0.1348,-0.046415,-0.0093836,-0.29105,0.39474
S09,super,N11,novel,C,121,908,TRUE,s006,0.2617,0.53125,0.12533,0.28125,-0.025888,<undefined>,0.45358,0.12533,-0.053553,0.03499,0.53125,0.20358,-0.14734,0.25,-0.25864
S10,super,N11,novel,C,131,625,TRUE,s007,0.38636,0.44287,0.38636,0.6,-0.18658,0.45358,<undefined>,0.38636,-0.13713,-0.26648,0.44287,0.23077,-0.39713,0.53125,-0.2451
S11,super,N11,novel,C,110,1058,TRUE,s008,0.34158,0.057153,0.68182,0.20455,0.16299,0.12533,0.38636,<undefined>,0.29935,-0.14579,0.057153,-0.068182,-0.058753,0.18182,0.19352
S12,super,N11,novel,C,41,1044,TRUE,s009,-0.16165,-0.075,0.31495,-0.066421,0.17929,-0.053553,-0.13713,0.29935,<undefined>,-0.20639,-0.17855,-0.29926,0.019188,-0.2,0.075
S13,super,N11,novel,C,120,1428,TRUE,s010,-0.19701,-0.077332,-0.28127,-0.36156,0.023158,0.03499,-0.26648,-0.14579,-0.20639,<undefined>,-0.1261,-0.25811,0.066947,-0.3788,-0.048766
